Date;Stat;League;Next Match;Odds;Resultado;Situação
Sunday, 19 October 20:00;Universidad Católica have had BTTS in their last 6 away league matches;Liga Pro;Away vs Libertad;1.67;;
Sunday, 19 October 18:30;Peñarol have Won their last 11 home league matches;Primera Division;Home vs Wanderers;1.29;;
Sunday, 19 October 18:00;Oakland Roots have had BTTS in their last 6 away league matches;USL Championship;Away vs New Mexico United;1.72;;
Sunday, 19 October 18:00;Oakland Roots have had BTTS in their last 6 league matches;USL Championship;Away vs New Mexico United;1.72;;
Sunday, 19 October 18:00;Oakland Roots have had Over 2.5 Match Goalsin their last 6 away league matches;USL Championship;Away vs New Mexico United;1.80;;
Sunday, 19 October 17:30;Concepcion have had Over 2.5 Match Goalsin their last 7 league matches;Primera B;Home vs San Luis;1.95;;
Sunday, 19 October 17:15;UCV Moquegua have had BTTS in their last 8 away league matches;Segunda Division;Away vs Unión Comercio;;;
Sunday, 19 October 16:15;Valur have had BTTS in their last 8 home league matches;Iceland Besta Deildin;Home vs FH;1.44;;
Sunday, 19 October 14:30;Crvena Zvezda have Won their last 9 league matches;Super Liga;Home vs IMT Novi Beograd;1.07;;
Sunday, 19 October 14:30;Crvena Zvezda have had Over 2.5 Match Goalsin their last 6 league matches;Super Liga;Home vs IMT Novi Beograd;1.20;;
Sunday, 19 October 14:30;Havelse have had BTTS in their last 6 league matches;3. Liga;Home vs Regensburg;1.53;;
Sunday, 19 October 14:15;Strømsgodset IF have had BTTS in their last 6 league matches;Norwegian Eliteserien;Home vs Fredrikstad;1.57;;
Sunday, 19 October 13:30;Santander have had Over 2.5 Match Goalsin their last 9 league matches;Segunda Division;Home vs La Coruna;1.65;;
Sunday, 19 October 13:00;Žilina have had Over 2.5 Match Goalsin their last 8 league matches;Fortuna Liga;Away vs Dunajská Streda;1.50;;
Sunday, 19 October 13:00;Barcelona W have Won their last 7 league matches;Primera Division Women;Home vs Granada W;;;
Sunday, 19 October 12:30;Coquimbo Unido have Won their last 11 league matches;Chile Primera Division;Home vs Colo-Colo;2.35;;
Sunday, 19 October 12:30;Zaglebie Lubin have had Over 2.5 Match Goalsin their last 7 league matches;Ekstraklasa;Home vs Legia Warsaw;1.80;;
Sunday, 19 October 11:15;Celta have had BTTS in their last 7 league matches;La Liga;Home vs Sociedad;1.75;;
Sunday, 19 October 11:00;AGF Aarhus have Won their last 8 league matches;Superliga;Away vs Brøndby IF;2.82;;
Sunday, 19 October 11:00;Afturelding have had BTTS in their last 7 home league matches;Iceland Besta Deildin;Home vs Vestri;1.57;;
Sunday, 19 October 11:00;Afturelding have had BTTS in their last 15 league matches;Iceland Besta Deildin;Home vs Vestri;1.57;;
Sunday, 19 October 10:30;Ein Frankfurt have had Over 2.5 Match Goalsin their last 6 league matches;Bundesliga;Away vs Freiburg;1.62;;
Sunday, 19 October 10:00;SJK have had Over 2.5 Match Goalsin their last 9 away league matches;Finnish Veikkausliiga;Away vs Gnistan;1.40;;
Sunday, 19 October 10:00;Rosengard W have Lost their last 8 league matches;Allsvenskan Women;Away vs Norrköping W;;;
Sunday, 19 October 10:00;Rosengard W have had Over 2.5 Match Goalsin their last 9 league matches;Allsvenskan Women;Away vs Norrköping W;;;
Sunday, 19 October 10:00;Orebro SK have had BTTS in their last 6 away league matches;Swedish Superettan;Away vs Helsingborg;1.62;;
Sunday, 19 October 10:00;SJK have had BTTS in their last 6 league matches;Finnish Veikkausliiga;Away vs Gnistan;1.40;;
Sunday, 19 October 09:45;Lech Poznań have had BTTS in their last 6 home league matches;Ekstraklasa;Home vs Pogoń Szczecin;1.53;;
Sunday, 19 October 09:30;Viking FK have had BTTS in their last 6 away league matches;Norwegian Eliteserien;Away vs Tromsø;1.53;;
Sunday, 19 October 09:30;Brann W have Won their last 11 league matches;Toppserien;Away vs Kolbotn W;;;
Sunday, 19 October 09:30;Brann W have Won their last 7 away league matches;Toppserien;Away vs Kolbotn W;;;
Sunday, 19 October 09:30;Bodø / Glimt W have had Over 2.5 Match Goalsin their last 10 home league matches;Toppserien;Home vs Rosenborg W;;;
