League;Stat;Next Match;Odds;Date;adam choi_dados_20251005_000421.csv;Situacao;Target;Tipo_Estatistica;Tamanho_Streak;Local_Jogo;Time;Liga_Categoria;Probabilidade_Sucesso;Previsao_Modelo;Padrao_Identificado;Recomendacao;Analise_Detalhada;Bonus_Total;Tipo_Analise
J League 2;Sagan Tosu have had BTTS in their last 6 league matches;Away vs Renofa Yamaguchi;1.91;2025-10-05 02:00:00;01/fev;VERDADEIRO;1.0;BTTS;6;FORA;Sagan Tosu;BAIXA_CONFIABILIDADE;0.7266666666666667;VERDADEIRO;PADRAO_FORTE;BOA;HISTORICO - PREVISAO - PADRAO FORTE: Estatistica BTTS por 6 jogos (Odds: 1.91). Previsao: MANTERA O STREAK. [JOGO FUTURO];0.0;ANALISE_HISTORICA
Premier League;Gazovik Orenburg have had BTTS in their last 6 league matches;Home vs Rostov;;2025-10-05 06:00:00;;;-1.0;BTTS;6;CASA;Gazovik Orenburg;BAIXA_CONFIABILIDADE;0.63;VERDADEIRO;PADRAO_REGULAR;REGULAR;PREVISAO - PADRAO_REGULAR: BTTS em 6 jogos (Odds: N/D) Previsao: MANTERA STREAK [SEM ODDS - ANALISE QUALITATIVA];0.0;PREVISAO_QUALITATIVA
Premier League;Gazovik Orenburg have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Rostov;;2025-10-05 06:00:00;;;-1.0;OVER_2.5;6;CASA;Gazovik Orenburg;BAIXA_CONFIABILIDADE;0.65;VERDADEIRO;PADRAO_REGULAR;REGULAR;PREVISAO - PADRAO_REGULAR: OVER_2.5 em 6 jogos (Odds: N/D) Previsao: MANTERA STREAK [SEM ODDS - ANALISE QUALITATIVA];0.0;PREVISAO_QUALITATIVA
Swedish Superettan;Utsikten have had Over 2.5 Match Goalsin their last 6 league matches;Away vs Oddevold;1.85;2025-10-05 08:00:00;;;-1.0;OVER_2.5;6;FORA;Utsikten;BAIXA_CONFIABILIDADE;0.56;VERDADEIRO;PADRAO_REGULAR;REGULAR;PREVISAO - PREVISAO - PADRAO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.85). Previsao: MANTERA O STREAK. [JOGO FUTURO];0.0;PREVISAO_FUTURO
League One;Chongqing Tongliang Long have had Over 2.5 Match Goalsin their last 6 away league matches;Away vs Guangxi Baoyun;1.9;2025-10-05 08:30:00;01/fev;VERDADEIRO;1.0;OVER_2.5;6;FORA;Chongqing Tongliang Long;BAIXA_CONFIABILIDADE;0.48;FALSO;PADRAO_REGULAR;REGULAR;HISTORICO - PREVISAO - PADRAO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.9). Previsao: STREAK SERA INTERROMPIDO. [JOGO FUTURO];0.0;ANALISE_HISTORICA
Meistriliiga;Levadia have had BTTS in their last 8 league matches;Home vs Tammeka;2.37;2025-10-05 08:30:00;6-0;FALSO;0.0;BTTS;8;CASA;Levadia;BAIXA_CONFIABILIDADE;0.21333333333333335;FALSO;PADRAO_REGULAR;REGULAR;HISTORICO - PREVISAO - PADRAO REGULAR: Estatistica BTTS por 8 jogos (Odds: 2.37). Previsao: STREAK SERA INTERROMPIDO. [JOGO FUTURO];0.0;ANALISE_HISTORICA
Meistriliiga;Levadia have had Over 2.5 Match Goalsin their last 8 league matches;Home vs Tammeka;1.33;2025-10-05 08:30:00;6-0;VERDADEIRO;1.0;OVER_2.5;8;CASA;Levadia;BAIXA_CONFIABILIDADE;0.86;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;HISTORICO - PREVISAO - PADRAO FORTISSIMO: Over 2.5 goals em 8 jogos (Odds: 1.33). Previsao: MANTERA O STREAK. [JOGO FUTURO];0.0;ANALISE_HISTORICA
League One;Shenzhen Juniors have had Over 2.5 Match Goalsin their last 9 league matches;Away vs Guangzhou E-Power;1.7;2025-10-05 08:30:00;;;-1.0;OVER_2.5;9;FORA;Shenzhen Juniors;BAIXA_CONFIABILIDADE;0.58;VERDADEIRO;PADRAO_REGULAR;REGULAR;PREVISAO - PREVISAO - PADRAO REGULAR: Over 2.5 goals em 9 jogos (Odds: 1.7). Previsao: MANTERA O STREAK. [JOGO FUTURO];0.0;PREVISAO_FUTURO
Allsvenskan Women;Brommapojkarna W have had BTTS in their last 8 league matches;Away vs Linkoping W;;2025-10-05 09:00:00;;;-1.0;BTTS;8;FORA;Brommapojkarna W;ALTA_CONFIABILIDADE;0.86;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PREVISAO - PADRAO_FORTE: BTTS em 8 jogos (Odds: N/D) [BONUS +23% complementar+confiabilidade] Previsao: MANTERA STREAK [SEM ODDS - ANALISE QUALITATIVA];0.22999999999999998;PREVISAO_QUALITATIVA
Allsvenskan Women;Brommapojkarna W have had Over 2.5 Match Goalsin their last 8 league matches;Away vs Linkoping W;;2025-10-05 09:00:00;;;-1.0;OVER_2.5;8;FORA;Brommapojkarna W;ALTA_CONFIABILIDADE;0.88;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PREVISAO - PADRAO_FORTE: OVER_2.5 em 8 jogos (Odds: N/D) [BONUS +23% complementar+confiabilidade] Previsao: MANTERA STREAK [SEM ODDS - ANALISE QUALITATIVA];0.22999999999999998;PREVISAO_QUALITATIVA
