League;Stat;Next Match;Odds;Date;Resultado;Situacao;Target;Tipo_Estatistica;Tamanho_Streak;Local_Jogo;Probabilidade_Sucesso;Previsao_Modelo;Padrao_Identificado;Recomendacao;Analise_Detalhada
Liga de Expansión MX;CA La Paz have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Cancún;1.53;2025-10-04 00:00:00;02/abr;FALSO;0.0;OVER_2.5;6;CASA;0.2806666666666667;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.53). Previsao: STREAK SERA INTERROMPIDO.
J League;Cerezo Osaka have had BTTS in their last 6 league matches;Away vs Nagoya Grampus;1.62;2025-10-04 01:30:00;02/jan;FALSO;0.0;BTTS;6;FORA;0.1366666666666667;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 6 jogos (Odds: 1.62). Previsao: STREAK SERA INTERROMPIDO.
K League 1;Daegu have had Over 2.5 Match Goalsin their last 13 away league matches;Away vs Gwangju;1.85;2025-10-04 02:00:00;02/mar;FALSO;0.0;OVER_2.5;13;FORA;0.29;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 13 jogos (Odds: 1.85). Previsao: STREAK SERA INTERROMPIDO.
1. Lig;Adana Demirspor have Lost their last 7 league matches;Away vs Pendikspor;1.05;2025-10-04 07:30:00;3-0;VERDADEIRO;1.0;DERROTA;7;FORA;0.7823809523809523;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PADRAO FORTE: Streak de 7 derrotas consecutivas (Odds: 1.05). Previsao: MANTERA O STREAK.
1. Lig;Adana Demirspor have had Over 2.5 Match Goalsin their last 8 league matches;Away vs Pendikspor;1.17;2025-10-04 07:30:00;3-0;VERDADEIRO;1.0;OVER_2.5;8;FORA;0.6507142857142857;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO SOLIDO: Over 2.5 goals em 8 jogos (Odds: 1.17). Previsao: MANTERA O STREAK.
Super League;Meizhou Hakka have had Over 2.5 Match Goalsin their last 12 home league matches;Home vs Qingdao Hainiu;1.66;2025-10-04 08:00:00;1-0;FALSO;0.0;OVER_2.5;12;CASA;0.09;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 12 jogos (Odds: 1.66). Previsao: STREAK SERA INTERROMPIDO.
Bundesliga 2;Preußen Münster have had BTTS in their last 7 league matches;Away vs Hertha;1.67;2025-10-04 08:00:00;02/jan;FALSO;0.0;BTTS;7;FORA;0.5479999999999999;VERDADEIRO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Estatistica BTTS por 7 jogos (Odds: 1.67). Previsao: MANTERA O STREAK.
Allsvenskan Women;Rosengard W have Lost their last 6 league matches;Away vs Malmö FF W;;2025-10-04 08:00:00;01/fev;FALSO;0.0;DERROTA;6;FORA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Allsvenskan Women;Rosengard W have had Over 2.5 Match Goalsin their last 7 league matches;Away vs Malmö FF W;;2025-10-04 08:00:00;01/fev;FALSO;0.0;OVER_2.5;7;FORA;;DADOS_INSUFICIENTES;INDETERMINADO;N/A;Dados insuficientes para analise
Championship;Hull have had Over 2.5 Match Goalsin their last 7 league matches;Home vs Sheffield United;1.91;2025-10-04 08:30:00;1-0;FALSO;0.0;OVER_2.5;7;CASA;0.3883333333333333;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Over 2.5 goals em 7 jogos (Odds: 1.91). Previsao: STREAK SERA INTERROMPIDO.
Super League;Shandong Taishan have Won their last 6 home league matches;Home vs Yunnan Yukun;1.37;2025-10-04 08:35:00;01/jan;FALSO;0.0;VITORIA;6;CASA;0.37333333333333335;FALSO;PADRAO_REGULAR;REGULAR;PADRAO REGULAR: Streak de 6 vitorias consecutivas (Odds: 1.37). Previsao: STREAK SERA INTERROMPIDO.
