League;Stat;Next Match;Odds;Date;Resultado;Situacao;Target;Tipo_Estatistica;Tamanho_Streak;Local_Jogo;Analise_Automatica
Liga de Expansión MX;CA La Paz have had Over 2.5 Match Goalsin their last 6 league matches;Home vs Cancún;1.53;1900-10-04 00:00:00;02/abr;FALSO;0;OVER_2.5;6;CASA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.53). Previsão: STREAK SERÁ INTERROMPIDO.
J League;Cerezo Osaka have had BTTS in their last 6 league matches;Away vs Nagoya Grampus;1.62;1900-10-04 01:30:00;02/jan;FALSO;0;BTTS;6;FORA;⚠️ PADRÃO REGULAR: Estatística BTTS por 6 jogos (Odds: 1.62). Previsão: STREAK SERÁ INTERROMPIDO.
K League 1;Daegu have had Over 2.5 Match Goalsin their last 13 away league matches;Away vs Gwangju;1.85;1900-10-04 02:00:00;02/mar;FALSO;0;OVER_2.5;13;FORA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 13 jogos (Odds: 1.85). Previsão: STREAK SERÁ INTERROMPIDO.
1. Lig;Adana Demirspor have Lost their last 7 league matches;Away vs Pendikspor;1.05;1900-10-04 07:30:00;3-0;VERDADEIRO;1;DERROTA;7;FORA;🔥 PADRÃO FORTE: Streak de 7 derrotas consecutivas (Odds: 1.05). Previsão: MANTERÁ O STREAK.
1. Lig;Adana Demirspor have had Over 2.5 Match Goalsin their last 8 league matches;Away vs Pendikspor;1.17;1900-10-04 07:30:00;3-0;VERDADEIRO;1;OVER_2.5;8;FORA;✅ PADRÃO SÓLIDO: Over 2.5 goals em 8 jogos (Odds: 1.17). Previsão: MANTERÁ O STREAK.
Super League;Meizhou Hakka have had Over 2.5 Match Goalsin their last 12 home league matches;Home vs Qingdao Hainiu;1.66;1900-10-04 08:00:00;1-0;FALSO;0;OVER_2.5;12;CASA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 12 jogos (Odds: 1.66). Previsão: STREAK SERÁ INTERROMPIDO.
Bundesliga 2;Preußen Münster have had BTTS in their last 7 league matches;Away vs Hertha;1.67;1900-10-04 08:00:00;02/jan;FALSO;0;BTTS;7;FORA;⚠️ PADRÃO REGULAR: Estatística BTTS por 7 jogos (Odds: 1.67). Previsão: MANTERÁ O STREAK.
Allsvenskan Women;Rosengard W have Lost their last 6 league matches;Away vs Malmö FF W;;1900-10-04 08:00:00;01/fev;FALSO;0;DERROTA;6;FORA;Dados insuficientes para análise
Allsvenskan Women;Rosengard W have had Over 2.5 Match Goalsin their last 7 league matches;Away vs Malmö FF W;;1900-10-04 08:00:00;01/fev;FALSO;0;OVER_2.5;7;FORA;Dados insuficientes para análise
Championship;Hull have had Over 2.5 Match Goalsin their last 7 league matches;Home vs Sheffield United;1.91;1900-10-04 08:30:00;1-0;FALSO;0;OVER_2.5;7;CASA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 7 jogos (Odds: 1.91). Previsão: STREAK SERÁ INTERROMPIDO.
Super League;Shandong Taishan have Won their last 6 home league matches;Home vs Yunnan Yukun;1.37;1900-10-04 08:35:00;01/jan;FALSO;0;VITORIA;6;CASA;⚠️ PADRÃO REGULAR: Streak de 6 vitórias consecutivas (Odds: 1.37). Previsão: STREAK SERÁ INTERROMPIDO.
Super League;Shandong Taishan have had Over 2.5 Match Goalsin their last 6 home league matches;Home vs Yunnan Yukun;1.3;1900-10-04 08:35:00;01/jan;FALSO;0;OVER_2.5;6;CASA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 6 jogos (Odds: 1.3). Previsão: STREAK SERÁ INTERROMPIDO.
Super League;Shandong Taishan have had Over 2.5 Match Goalsin their last 8 league matches;Home vs Yunnan Yukun;1.3;1900-10-04 08:35:00;01/jan;FALSO;0;OVER_2.5;8;CASA;⚠️ PADRÃO REGULAR: Over 2.5 goals em 8 jogos (Odds: 1.3). Previsão: STREAK SERÁ INTERROMPIDO.
Super League;Yunnan Yukun have had BTTS in their last 11 league matches;Away vs Shandong Taishan;1.44;1900-10-04 08:35:00;01/jan;FALSO;0;BTTS;11;FORA;⚠️ PADRÃO REGULAR: Estatística BTTS por 11 jogos (Odds: 1.44). Previsão: STREAK SERÁ INTERROMPIDO.
Super league;Dinamo Samarqand have had BTTS in their last 8 away league matches;Away vs Surkhon Termez;;1900-10-04 09:00:00;0-2;FALSO;0;BTTS;8;FORA;Dados insuficientes para análise
