League;Stat;Next Match;Odds;Date;Situacao;Tipo_Estatistica;Liga_Categoria;Probabilidade_Sucesso;Previsao;Padrao;
J League 2;Consadole Sapporo have had BTTS in their last 8 away league matches;Away vs Kataller Toyama;1.73;19/10/2025 00:55;;
J League;Shonan Bellmare have Lost their last 7 league matches;Home vs Kyoto Sanga;1.81;19/10/2025 03:00;;
Super League;Wuhan Three Towns have had Over 2.5 Match Goalsin their last 8 away league matches;Away vs Dalian Yingbo;1.53;19/10/2025 04:30;;
Super League;Wuhan Three Towns have Lost their last 6 away league matches;Away vs Dalian Yingbo;1.91;19/10/2025 04:30;;
Swedish Superettan;Trelleborg have had Over 2.5 Match Goalsin their last 7 away league matches;Away vs Utsikten;1.85;19/10/2025 08:00;;
3. Liga;Ulm have had BTTS in their last 8 league matches;Home vs Energie Cottbus;1.50;19/10/2025 08:30;;
Bundesliga 2;Magdeburg have Lost their last 6 league matches;Away vs Darmstadt;1.80;19/10/2025 08:30;;
3. Liga;Energie Cottbus have had Over 2.5 Match Goalsin their last 6 league matches;Away vs Ulm;1.57;19/10/2025 08:30;;
Meistriliiga;Harju Jalgpallikool have had Over 2.5 Match Goalsin their last 9 league matches;Home vs Nõmme Kalju;1.44;19/10/2025 08:30;;
Allsvenskan Women;Häcken W have Won their last 8 away league matches;Away vs Brommapojkarna W;;19/10/2025 09:00;;
Allsvenskan Women;Brommapojkarna W have had Over 2.5 Match Goalsin their last 10 league matches;Home vs Häcken W;;19/10/2025 09:00;;
Allsvenskan Women;Brommapojkarna W have had BTTS in their last 11 home league matches;Home vs Häcken W;;19/10/2025 09:00;;
Allsvenskan Women;Brommapojkarna W have had Over 2.5 Match Goalsin their last 11 home league matches;Home vs Häcken W;;19/10/2025 09:00;;
Allsvenskan Women;Brommapojkarna W have Lost their last 6 home league matches;Home vs Häcken W;;19/10/2025 09:00;;
Allsvenskan Women;Brommapojkarna W have had BTTS in their last 10 league matches;Home vs Häcken W;;19/10/2025 09:00;;
Superliga;Odense BK have had BTTS in their last 8 league matches;Away vs Viborg FF;1.53;19/10/2025 09:00;;
Toppserien;Brann W have Won their last 7 away league matches;Away vs Kolbotn W;;19/10/2025 09:30;;
Toppserien;Bodø / Glimt W have had Over 2.5 Match Goalsin their last 10 home league matches;Home vs Rosenborg W;;19/10/2025 09:30;;
Toppserien;Brann W have Won their last 11 league matches;Away vs Kolbotn W;;19/10/2025 09:30;;
Toppserien;Bodø / Glimt W have Lost their last 6 home league matches;Home vs Rosenborg W;;19/10/2025 09:30;;
Norwegian Eliteserien;Viking FK have had BTTS in their last 6 away league matches;Away vs Tromsø;1.57;19/10/2025 09:30;;
Ekstraklasa;Lech Poznań have had BTTS in their last 6 home league matches;Home vs Pogoń Szczecin;1.50;19/10/2025 09:45;;
Allsvenskan Women;Rosengard W have had Over 2.5 Match Goalsin their last 9 league matches;Away vs Norrköping W;;19/10/2025 10:00;;
Allsvenskan Women;Rosengard W have Lost their last 8 league matches;Away vs Norrköping W;;19/10/2025 10:00;;
Finnish Veikkausliiga;SJK have had Over 2.5 Match Goalsin their last 9 away league matches;Away vs Gnistan;1.40;19/10/2025 10:00;;
Finnish Veikkausliiga;SJK have had BTTS in their last 6 league matches;Away vs Gnistan;1.40;19/10/2025 10:00;;
Finnish Veikkausliiga;Ilves have had BTTS in their last 6 league matches;Home vs FC Inter Turku;1.50;19/10/2025 10:00;;
Swedish Superettan;Orebro SK have had BTTS in their last 6 away league matches;Away vs Helsingborg;1.62;19/10/2025 10:00;;
Bundesliga;Ein Frankfurt have had Over 2.5 Match Goalsin their last 6 league matches;Away vs Freiburg;1.62;19/10/2025 10:30;;
Iceland Besta Deildin;Afturelding have had BTTS in their last 7 home league matches;Home vs Vestri;1.53;19/10/2025 11:00;;
Superliga;AGF Aarhus have Won their last 8 league matches;Away vs Brøndby IF;2.82;19/10/2025 11:00;;
