League;Stat;Next Match;Odds;Date;Situacao;Tipo_Estatistica;Liga_Categoria;Probabilidade_Sucesso;Previsao;Padrao;Recomendacao;Analise_Detalhada
Liga MX;Atlas have had Over 2.5 Match Goalsin their last 6 home league matches;ATLAS vs leon;1.65;23/10/2025 00:00;FALSO;OVER_2.5;BAIXA_CONFIABILIDADE;0.8289174078469922;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.65) [BONUS +10%] Previsao: MANTERA STREAK
Liga MX;Toluca have had Over 2.5 Match Goalsin their last 7 league matches;TOLUCA vs tijuana;1.5;23/10/2025 00:00;;OVER_2.5;BAIXA_CONFIABILIDADE;0.5182749973304247;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 7 jogos (Odds: 1.5) [BONUS +10%] Previsao: INTERROMPERA STREAK
Liga MX;Toluca have Won their last 7 league matches;TOLUCA vs tijuana;1.86;23/10/2025 00:00;;VITORIA;BAIXA_CONFIABILIDADE;0.34714880952380955;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: VITORIA em 7 jogos (Odds: 1.86) [BONUS +10%] Previsao: INTERROMPERA STREAK
Liga MX;Pumas UNAM have had BTTS in their last 6 league matches;PUMAS UNAM vs atlético san luis;1.7;23/10/2025 00:05;;BTTS;BAIXA_CONFIABILIDADE;0.43278135818516594;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 1.7) [BONUS +10%] Previsao: INTERROMPERA STREAK
First Division;HB Køge have had Over 2.5 Match Goalsin their last 6 away league matches;HB KØGE vs hvidovre;1.75;23/10/2025 13:30;;OVER_2.5;BAIXA_CONFIABILIDADE;0.5288797704843549;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 6 jogos (Odds: 1.75) [BONUS +10%] Previsao: INTERROMPERA STREAK
First Division;HB Køge have had Over 2.5 Match Goalsin their last 6 away league matches;HB KØGE vs hvidovre;1.75;23/10/2025 13:30;;OVER_2.5;BAIXA_CONFIABILIDADE;0.5288797704843549;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 6 jogos (Odds: 1.75) [BONUS +10%] Previsao: INTERROMPERA STREAK
Primera Division;Universitario have Won their last 6 league matches;UNIVERSITARIO vs sporting cristal;2.3;23/10/2025 22:00;;VITORIA;BAIXA_CONFIABILIDADE;0.522876984126984;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: VITORIA em 6 jogos (Odds: 2.3) [BONUS +10%] Previsao: INTERROMPERA STREAK
Super League;Shenzhen Peng City have Lost their last 7 away league matches;SHENZHEN PENG CITY vs wuhan three towns;2.15;24/10/2025 08:35;;DERROTA;BAIXA_CONFIABILIDADE;0.5078165584415585;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 7 jogos (Odds: 2.15) [BONUS +10%] Previsao: INTERROMPERA STREAK
Tweede Divisie;Rijnsburgse Boys have had Over 2.5 Match Goalsin their last 6 league matches;RIJNSBURGSE BOYS vs de treffers;1.61;25/10/2025 13:00;;OVER_2.5;BAIXA_CONFIABILIDADE;0.8179278616788747;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.61) [BONUS +10%] Previsao: MANTERA STREAK
Liga 1;Csikszereda have had BTTS in their last 6 home league matches;CSIKSZEREDA HAVE HAD BTTS vs petrolul 52;1.91;24/10/2025 11:30;;BTTS;BAIXA_CONFIABILIDADE;0.3636439259454439;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 1.91) [BONUS +10%] Previsao: INTERROMPERA STREAK
