League;Stat;Next Match;Odds;Date;Situação;Resultado;Tipo_Estatistica;Liga_Categoria;Probabilidade_Sucesso;Efetividade;Previsao;Padrao;Recomendacao;Analise_Detalhada
Serie B;Reggiana have had BTTS in their last 6 league matches;REGGIANA vs modena;1.95;28/10/2025 16:30;FALSO;1-0;BTTS;BAIXA_CONFIABILIDADE;0.7785879074722543;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PADRAO_FORTE: BTTS em 6 jogos (Odds: 1.95) [BONUS +10%] Previsao: MANTERA STREAK
Ligue 2;Troyes have Won their last 6 home league matches;TROYES vs amiens;1.45;28/10/2025 16:30;VERDADEIRO;3-0;VITORIA;BAIXA_CONFIABILIDADE;0.8990971805971806;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 6 jogos (Odds: 1.45) [BONUS +10%] Previsao: MANTERA STREAK
Swiss Super League;Winterthur have had Over 2.5 Match Goalsin their last 8 league matches;WINTERTHUR vs fc thun;1.48;28/10/2025 16:30;VERDADEIRO;3-0;OVER_2.5;BAIXA_CONFIABILIDADE;0.8135730661696315;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 8 jogos (Odds: 1.48) [BONUS +10%] Previsao: MANTERA STREAK
Vysshaya Liga;Dinamo Minsk have had BTTS in their last 6 away league matches;DINAMO MINSK vs neman grodno;;29/10/2025 14:00;;;BTTS;BAIXA_CONFIABILIDADE;0.9067973112285032;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: nan) [BONUS +10%] Previsao: MANTERA STREAK
Vysshaya Liga;Dinamo Minsk have had Over 2.5 Match Goalsin their last 6 away league matches;DINAMO MINSK vs neman grodno;;29/10/2025 14:00;;;OVER_2.5;BAIXA_CONFIABILIDADE;0.95;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: nan) [BONUS +10%] Previsao: MANTERA STREAK
Norwegian Eliteserien;SK Brann have Won their last 6 home league matches;SK BRANN vs fk bodø / glimt;3.0;29/10/2025 15:00;;;VITORIA;BAIXA_CONFIABILIDADE;0.5035396825396825;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: VITORIA em 6 jogos (Odds: 3.0) [BONUS +10%] Previsao: INTERROMPERA STREAK
SPL;Hearts have Won their last 6 league matches;HEARTS vs st mirren;1.81;29/10/2025 16:45;;;VITORIA;BAIXA_CONFIABILIDADE;0.8326660780739725;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 6 jogos (Odds: 1.81) [BONUS +10%] Previsao: MANTERA STREAK
Colombia Primera A;Fortaleza CEIF have had BTTS in their last 6 away league matches;FORTALEZA CEIF vs la equidad;2.1;29/10/2025 18:00;;;BTTS;BAIXA_CONFIABILIDADE;0.7688238504787265;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PADRAO_FORTE: BTTS em 6 jogos (Odds: 2.1) [BONUS +10%] Previsao: MANTERA STREAK
Colombia Primera A;La Equidad have Lost their last 6 league matches;LA EQUIDAD vs fortaleza ceif;1.95;29/10/2025 18:00;;;DERROTA;BAIXA_CONFIABILIDADE;0.5950151740760098;JOGO_FUTURO;FALSO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: DERROTA em 6 jogos (Odds: 1.95) [BONUS +10%] Previsao: INTERROMPERA STREAK
Colombia Primera A;Independiente Medellín have had BTTS in their last 10 league matches;INDEPENDIENTE MEDELLÍN vs atlético bucaramanga;1.91;29/10/2025 20:10;;;BTTS;BAIXA_CONFIABILIDADE;0.8946265491044899;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 10 jogos (Odds: 1.91) [BONUS +10%] Previsao: MANTERA STREAK
Saudi Pro League;Damac FC have had BTTS in their last 6 league matches;DAMAC FC vs al fateh;1.57;30/10/2025 12:15;;;BTTS;BAIXA_CONFIABILIDADE;0.8467247280797706;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 1.57) [BONUS +10%] Previsao: MANTERA STREAK
Finnish Veikkausliiga;Ilves have had BTTS in their last 8 league matches;ILVES vs hjk;;30/10/2025 14:00;;;BTTS;BAIXA_CONFIABILIDADE;0.95;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 8 jogos (Odds: nan) [BONUS +10%] Previsao: MANTERA STREAK
Segunda Liga;Portimonense SAD have had BTTS in their last 8 league matches;PORTIMONENSE SAD vs torreense;1.73;30/10/2025 15:00;;;BTTS;BAIXA_CONFIABILIDADE;0.9353400636832622;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 8 jogos (Odds: 1.73) [BONUS +10%] Previsao: MANTERA STREAK
Swiss Super League;Lucerne have had BTTS in their last 6 league matches;LUCERNE vs fc lugano;1.57;30/10/2025 16:30;;;BTTS;BAIXA_CONFIABILIDADE;0.8467247280797706;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 1.57) [BONUS +10%] Previsao: MANTERA STREAK
Swiss Super League;Lucerne have had Over 2.5 Match Goalsin their last 6 league matches;LUCERNE vs fc lugano;1.57;30/10/2025 16:30;;;OVER_2.5;BAIXA_CONFIABILIDADE;0.8527895624848494;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.57) [BONUS +10%] Previsao: MANTERA STREAK
Swiss Super League;Young Boys have had Over 2.5 Match Goalsin their last 6 league matches;YOUNG BOYS vs grasshopper;1.57;30/10/2025 16:30;;;OVER_2.5;BAIXA_CONFIABILIDADE;0.8527895624848494;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.57) [BONUS +10%] Previsao: MANTERA STREAK
Colombia Primera A;Unión Magdalena have had BTTS in their last 6 home league matches;UNIÓN MAGDALENA vs deportes tolima;2.0;30/10/2025 18:00;;;BTTS;BAIXA_CONFIABILIDADE;0.8392527801239694;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 2.0) [BONUS +10%] Previsao: MANTERA STREAK
