League;Stat;Next Match;Odds;Date;Resultado;Situação;Tipo_Estatistica;Liga_Categoria;Probabilidade_Sucesso;Previsao;Efetividade;Padrao;Recomendacao;Analise_Detalhada
Colombia Primera A;Atlético Nacional have had Over 2.5 Match Goals in their last 6 league matches;ATLÉTICO NACIONAL vs américa de cali;1.95;20/11/2025 21:30;'1-0;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.8855769242933869;VERDADEIRO;FALSO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.95) [BONUS +15%] Previsao: MANTERA STREAK
Liga MX;Pumas UNAM have had BTTS in their last 7 away league matches;PUMAS UNAM vs pachuca;1.62;20/11/2025 22:00;'3-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.8210480650524821;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 7 jogos (Odds: 1.62) [BONUS +15%] Previsao: MANTERA STREAK
Liga MX;Juárez have had BTTS in their last 6 league matches;JUÁREZ vs tijuana;1.62;21/11/2025 00:00;'3-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.8118203125633133;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 1.62) [BONUS +15%] Previsao: MANTERA STREAK
Liga MX;Juárez have had BTTS in their last 7 away league matches;JUÁREZ vs tijuana;1.62;21/11/2025 00:00;'3-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.8210480650524821;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 7 jogos (Odds: 1.62) [BONUS +15%] Previsao: MANTERA STREAK
Liga MX;Juárez have had Over 2.5 Match Goals in their last 6 league matches;JUÁREZ vs tijuana;1.8;21/11/2025 00:00;'3-1;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.92789490350251;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.8) [BONUS +15%] Previsao: MANTERA STREAK
Liga 1;Csikszereda have had BTTS in their last 7 home league matches;CSIKSZEREDA vs unirea slobozia;1.67;21/11/2025 12:30;'2-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.8111941273235445;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 7 jogos (Odds: 1.67) [BONUS +15%] Previsao: MANTERA STREAK
1. Lig;Adana Demirspor have Lost their last 12 league matches;ADANA DEMIRSPOR vs manisa bbsk;1.05;21/11/2025 14:00;'5-0;VERDADEIRO;DERROTA;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: DERROTA em 12 jogos (Odds: 1.05) [BONUS +15%] Previsao: MANTERA STREAK
1. Lig;Adana Demirspor have had Over 2.5 Match Goals in their last 13 league matches;ADANA DEMIRSPOR vs manisa bbsk;1.14;21/11/2025 14:00;'5-0;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 13 jogos (Odds: 1.14) [BONUS +15%] Previsao: MANTERA STREAK
1. Lig;Adana Demirspor have had Over 2.5 Match Goals in their last 6 away league matches;ADANA DEMIRSPOR vs manisa bbsk;1.14;21/11/2025 14:00;'5-0;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.95;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.14) [BONUS +15%] Previsao: MANTERA STREAK
Ekstraklasa;Arka Gdynia have Lost their last 6 away league matches;ARKA GDYNIA vs nieciecza;1.95;21/11/2025 14:00;'2-0;VERDADEIRO;DERROTA;MEDIA_CONFIABILIDADE;0.6450151740760098;FALSO;FALSO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: DERROTA em 6 jogos (Odds: 1.95) [BONUS +15%] Previsao: INTERROMPERA STREAK
