League;Stat;Next Match;Odds;Date;Resultado;Situação;Liga_Categoria;Tipo_Estatistica;Probabilidade_Sucesso;Efetividade;Previsao;Padrao;Recomendacao;Analise_Detalhada
Northern Ireland Premiership;Glenavon have had Over 2.5 Match Goals in their last 8 league matches;GLENAVON vs portadown;2.05;04/04/2026 11:00;1-1;FALSO;MEDIA_CONFIABILIDADE;OVER_2.5;0.5771796230830668;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 8 jogos (Odds: 2.05) Streak bonus: +12% Tipo bonus: +4% Previsão: INTERROMPERÁ STREAK
Scottish League 1;Montrose have had BTTS in their last 12 league matches;MONTROSE vs east fife;1.67;04/04/2026 11:00;'1-0;FALSO;MEDIA_CONFIABILIDADE;BTTS;0.6291010333546918;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: BTTS em 12 jogos (Odds: 1.67) Streak bonus: +18% Tipo bonus: +5% Previsão: MANTERÁ STREAK
Premier League;Dinamo Moscow have had Over 2.5 Match Goals in their last 9 home league matches;DINAMO MOSCOW vs gazovik orenburg;;04/04/2026 11:30;'3-3;VERDADEIRO;MEDIA_CONFIABILIDADE;OVER_2.5;0.5162048923886319;JOGO_FUTURO;FALSO;PADRAO_FRACO;ARISCADO;PADRAO_FRACO: OVER_2.5 em 9 jogos (Odds: 2.00) Streak bonus: +14% Tipo bonus: +4% Previsão: INTERROMPERÁ STREAK
Eredivisie;PSV Eindhoven have had BTTS in their last 7 league matches;PSV EINDHOVEN vs utrecht;1.5;04/04/2026 11:30;'4-3;VERDADEIRO;MEDIA_CONFIABILIDADE;BTTS;0.6069000792811167;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: BTTS em 7 jogos (Odds: 1.50) Streak bonus: +10% Tipo bonus: +5% Previsão: MANTERÁ STREAK
Eredivisie;PSV Eindhoven have had Over 2.5 Match Goals in their last 11 home league matches;PSV EINDHOVEN vs utrecht;1.33;04/04/2026 11:30;'4-3;VERDADEIRO;MEDIA_CONFIABILIDADE;OVER_2.5;0.8604429607419952;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 11 jogos (Odds: 1.33) Streak bonus: +16% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Eredivisie;PSV Eindhoven have had Over 2.5 Match Goals in their last 13 league matches;PSV EINDHOVEN vs utrecht;1.33;04/04/2026 11:30;'4-3;VERDADEIRO;MEDIA_CONFIABILIDADE;OVER_2.5;0.7931312070543339;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 13 jogos (Odds: 1.33) Streak bonus: +20% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Premier League;Dynamo Kyiv have Won their last 7 league matches;DYNAMO KYIV vs karpaty;1.4;04/04/2026 12:00;'0-1;FALSO;MEDIA_CONFIABILIDADE;VITORIA;0.7936353161171315;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 7 jogos (Odds: 1.40) Streak bonus: +10% Tipo bonus: +8% Previsão: MANTERÁ STREAK
Bundesliga;Wolfsberger AC have Lost their last 7 away league matches;WOLFSBERGER AC vs wsg tirol;2.7;04/04/2026 12:00;'3-1;FALSO;MEDIA_CONFIABILIDADE;DERROTA;0.3601358788813997;JOGO_FUTURO;FALSO;PADRAO_FRACO;ARISCADO;PADRAO_FRACO: DERROTA em 7 jogos (Odds: 2.70) Streak bonus: +10% Previsão: INTERROMPERÁ STREAK
Swiss Super League;FC Thun have had Over 2.5 Match Goals in their last 6 league matches;FC THUN vs fc lugano;1.6;04/04/2026 13:00;'1-0;FALSO;MEDIA_CONFIABILIDADE;OVER_2.5;0.7594502166542202;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.60) Streak bonus: +9% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Swiss Super League;FC Thun have had Over 2.5 Match Goals in their last 8 away league matches;FC THUN vs fc lugano;1.6;04/04/2026 13:00;'1-0;FALSO;MEDIA_CONFIABILIDADE;OVER_2.5;0.6708825510232929;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: OVER_2.5 em 8 jogos (Odds: 1.60) Streak bonus: +12% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Serie A;Fiorentina have had Over 2.5 Match Goals in their last 6 away league matches;FIORENTINA vs verona;2.38;04/04/2026 13:00;'0-1;FALSO;MEDIA_CONFIABILIDADE;OVER_2.5;0.5929294248328141;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 6 jogos (Odds: 2.38) Streak bonus: +9% Tipo bonus: +4% Previsão: INTERROMPERÁ STREAK
Saudi Pro League;Al Ahli have Won their last 9 home league matches;AL AHLI vs damac fc;1.22;04/04/2026 13:15;'3-0;VERDADEIRO;MEDIA_CONFIABILIDADE;VITORIA;0.95;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 9 jogos (Odds: 1.22) Streak bonus: +14% Tipo bonus: +8% Previsão: MANTERÁ STREAK
