League;Stat;Next Match;Odds;Date;Situacao;Tipo_Estatistica;Tamanho_Streak;Local_Jogo;Liga_Categoria;Time;Probabilidade_Sucesso;Previsao;Padrao;Recomendacao;Analise_Detalhada;Bonus_Total;Score_Prioridade
League One;Heilongjiang Lava Spring have Won their last 6 home league matches;Home vs Nantong Zhiyun;3.1;12/10/2025 08:30;;VITORIA;6;CASA;BAIXA_CONFIABILIDADE;Heilongjiang Lava Spring;0.48888293650793657;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: VITORIA em 6 jogos (Odds: 3.1) [BONUS +10%] Previsao: INTERROMPERA STREAK;0.1;15.155.371.031.746.000
Colombia Primera A;Independiente Medellín have had Over 2.5 Match Goalsin their last 7 league matches;Away vs Once Caldas;2.25;13/10/2025 19:15;;OVER_2.5;7;FORA;BAIXA_CONFIABILIDADE;Independiente Medellín;0.6082162698412698;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: OVER_2.5 em 7 jogos (Odds: 2.25) [BONUS +10%] Previsao: MANTERA STREAK;0.1;1.368.486.607.142.850
Premier League;Vancouver FC have had BTTS in their last 6 league matches;Away vs Atlético Ottawa;2.25;12/10/2025 16:00;;BTTS;6;FORA;BAIXA_CONFIABILIDADE;Vancouver FC;0.534077380952381;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 2.25) [BONUS +10%] Previsao: INTERROMPERA STREAK;0.1;12.016.741.071.428.500
US MLS;Los Angeles FC have Won their last 6 league matches;Away vs Austin;2.35;12/10/2025 20:00;;VITORIA;6;FORA;BAIXA_CONFIABILIDADE;Los Angeles FC;0.48372222222222216;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: VITORIA em 6 jogos (Odds: 2.35) [BONUS +10%] Previsao: INTERROMPERA STREAK;0.1;11.367.472.222.222.200
K League 2;Jeonnam Dragons have had BTTS in their last 6 league matches;Home vs Ansan Greeners;1.83;12/10/2025 02:00;;BTTS;6;CASA;BAIXA_CONFIABILIDADE;Jeonnam Dragons;0.5563869047619048;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 1.83) [BONUS +10%] Previsao: INTERROMPERA STREAK;0.1;10.181.880.357.142.800
Colombia Primera A;Boyacá Chicó have Lost their last 6 away league matches;Away vs Fortaleza CEIF;1.8;13/10/2025 21:30;;DERROTA;6;FORA;BAIXA_CONFIABILIDADE;Boyacá Chicó;0.5429345238095238;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 6 jogos (Odds: 1.8) [BONUS +10%] Previsao: INTERROMPERA STREAK;0.1;0.9772821428571429
US MLS;Orlando City SC have had BTTS in their last 8 home league matches;Home vs Vancouver Whitecaps;1.5;11/10/2025 20:30;;BTTS;8;CASA;BAIXA_CONFIABILIDADE;Orlando City SC;0.6068333333333334;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: BTTS em 8 jogos (Odds: 1.5) [BONUS +10%] Previsao: MANTERA STREAK;0.1;0.9102500000000002
Liga de Expansión MX;Dorados have Lost their last 7 league matches;Home vs Atlante;1.57;12/10/2025 00:00;;DERROTA;7;CASA;BAIXA_CONFIABILIDADE;Dorados;0.5412539682539683;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 7 jogos (Odds: 1.57) [BONUS +10%] Previsao: INTERROMPERA STREAK;0.1;0.8497687301587303
Primera B Nacional;Estudiantes de Buenos Aires have Won their last 6 home league matches;Home vs Deportivo Maipú;1.57;12/10/2025 17:10;;VITORIA;6;CASA;BAIXA_CONFIABILIDADE;Estudiantes de Buenos Aires;0.48674404761904766;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: VITORIA em 6 jogos (Odds: 1.57) [BONUS +10%] Previsao: INTERROMPERA STREAK;0.1;0.7641881547619048
US MLS;LA Galaxy have had Over 2.5 Match Goalsin their last 7 home league matches;Home vs Dallas;1.36;11/10/2025 23:30;;OVER_2.5;7;CASA;BAIXA_CONFIABILIDADE;LA Galaxy;0.7678787878787875;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PADRAO_FORTE: OVER_2.5 em 7 jogos (Odds: 1.36) [BONUS +10%] Previsao: MANTERA STREAK;0.1;1.044.315.151.515.150
