League;Stat;Next Match;Odds;Date;Resultado;Situação;Liga_Categoria;Tipo_Estatistica;Probabilidade_Sucesso;Efetividade;Previsao;Padrao;Recomendacao;Analise_Detalhada
Swiss Super League;Lucerne have had Over 2.5 Match Goals in their last 7 home league matches;LUCERNE vs basel;1.53;17/12/2025 16:30;'1-2;VERDADEIRO;MEDIA_CONFIABILIDADE;OVER_2.5;0.6126953288763464;ERRO;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: OVER_2.5 em 7 jogos (Odds: 1.53) Streak bonus: +10% Tipo bonus: +4% Previsão: MANTERÁ STREAK
First Division B;KSC Lokeren have had BTTS in their last 7 league matches;KSC LOKEREN vs rfc liege;1.62;18/12/2025 16:00;'0-1;FALSO;MEDIA_CONFIABILIDADE;BTTS;0.703863654227684;ERRO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: BTTS em 7 jogos (Odds: 1.62) Streak bonus: +10% Tipo bonus: +5% Previsão: MANTERÁ STREAK
A League;Auckland have had BTTS in their last 6 league matches;AUCKLAND vs western sydney wanderers;1.67;19/12/2025 06:00;'0-2;FALSO;MEDIA_CONFIABILIDADE;BTTS;0.7164153090340215;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: BTTS em 6 jogos (Odds: 1.67) Streak bonus: +9% Tipo bonus: +5% Previsão: MANTERÁ STREAK
1. Lig;Erokspor have had BTTS in their last 6 league matches;EROKSPOR vs sariyer;;19/12/2025 14:00;;;MEDIA_CONFIABILIDADE;BTTS;0.5158350263190401;JOGO_FUTURO;FALSO;PADRAO_FRACO;ARISCADO;PADRAO_FRACO: BTTS em 6 jogos (Odds: 2.00) Streak bonus: +9% Tipo bonus: +5% Previsão: INTERROMPERÁ STREAK
Eerste Divisie;Den Haag have Won their last 9 home league matches;DEN HAAG vs jong psv;1.17;19/12/2025 16:00;'1-2;FALSO;MEDIA_CONFIABILIDADE;VITORIA;0.95;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 9 jogos (Odds: 1.17) Streak bonus: +14% Tipo bonus: +8% Previsão: MANTERÁ STREAK
Eerste Divisie;Den Haag have had Over 2.5 Match Goals in their last 7 home league matches;DEN HAAG vs jong psv;1.22;19/12/2025 16:00;'1-2;VERDADEIRO;MEDIA_CONFIABILIDADE;OVER_2.5;0.8615719921636789;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 7 jogos (Odds: 1.22) Streak bonus: +10% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Eerste Divisie;Jong PSV have had Over 2.5 Match Goals in their last 10 league matches;JONG PSV vs den haag;1.22;19/12/2025 16:00;'1-2;VERDADEIRO;MEDIA_CONFIABILIDADE;OVER_2.5;0.95;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 10 jogos (Odds: 1.22) Streak bonus: +15% Tipo bonus: +4% Previsão: MANTERÁ STREAK
League Two;Bristol Rvs have Lost their last 10 league matches;BRISTOL RVS vs crewe;1.86;19/12/2025 16:45;'1-1;FALSO;MEDIA_CONFIABILIDADE;DERROTA;0.5132821475669258;JOGO_FUTURO;FALSO;PADRAO_FRACO;ARISCADO;PADRAO_FRACO: DERROTA em 10 jogos (Odds: 1.86) Streak bonus: +15% Previsão: INTERROMPERÁ STREAK
1. Lig;Iğdir FK have had BTTS in their last 6 league matches;IĞDIR FK vs sivasspor;1.8;20/12/2025 07:30;;;MEDIA_CONFIABILIDADE;BTTS;0.5546653358080776;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 1.80) Streak bonus: +9% Tipo bonus: +5% Previsão: INTERROMPERÁ STREAK
1. Lig;Iğdir FK have had BTTS in their last 7 home league matches;IĞDIR FK vs sivasspor;1.8;20/12/2025 07:30;;;MEDIA_CONFIABILIDADE;BTTS;0.5565417430155237;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 7 jogos (Odds: 1.80) Streak bonus: +10% Tipo bonus: +5% Previsão: INTERROMPERÁ STREAK
Segunda Liga;Lusitania FC Lourosa have had BTTS in their last 6 league matches;LUSITANIA FC LOUROSA vs ud oliveirense;1.83;20/12/2025 08:00;;;MEDIA_CONFIABILIDADE;BTTS;0.6174754783344674;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: BTTS em 6 jogos (Odds: 1.83) Streak bonus: +9% Tipo bonus: +5% Previsão: MANTERÁ STREAK
Bundesliga 2;Karlsruhe have had Over 2.5 Match Goals in their last 6 away league matches;KARLSRUHE vs vfl bochum 1848;1.57;20/12/2025 09:00;'2-2;VERDADEIRO;MEDIA_CONFIABILIDADE;OVER_2.5;0.7163221180606105;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: OVER_2.5 em 6 jogos (Odds: 1.57) Streak bonus: +9% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Bundesliga 2;Karlsruhe have had Over 2.5 Match Goals in their last 9 league matches;KARLSRUHE vs vfl bochum 1848;1.57;20/12/2025 09:00;'2-2;VERDADEIRO;MEDIA_CONFIABILIDADE;OVER_2.5;0.6605223195801144;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: OVER_2.5 em 9 jogos (Odds: 1.57) Streak bonus: +14% Tipo bonus: +4% Previsão: MANTERÁ STREAK
OTP Bank Liga;MTK have had Over 2.5 Match Goals in their last 6 league matches;MTK vs zalaegerszegi te;1.57;20/12/2025 09:00;'1-1;FALSO;MEDIA_CONFIABILIDADE;OVER_2.5;0.7163221180606105;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: OVER_2.5 em 6 jogos (Odds: 1.57) Streak bonus: +9% Tipo bonus: +4% Previsão: MANTERÁ STREAK
National League;Aldershot have Lost their last 7 away league matches;ALDERSHOT vs boston united;1.9;20/12/2025 09:30;'0-2;VERDADEIRO;MEDIA_CONFIABILIDADE;DERROTA;0.5173574488773912;JOGO_FUTURO;FALSO;PADRAO_FRACO;ARISCADO;PADRAO_FRACO: DERROTA em 7 jogos (Odds: 1.90) Streak bonus: +10% Previsão: INTERROMPERÁ STREAK
