League;Stat;Next Match;Odds;Date;Resultado;Situação;Tipo_Estatistica;Liga_Categoria;Probabilidade_Sucesso;Efetividade;Previsao;Padrao;Recomendacao;Analise_Detalhada
Championship;Derby have had BTTS in their last 7 league matches;DERBY vs millwall;2.0;10/12/2025 16:45;'1-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.4601106238119399;FALSO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 7 jogos (Odds: 2.0) [BONUS +15%] Previsao: INTERROMPERA STREAK
Championship;Derby have had Over 2.5 Match Goals in their last 7 league matches;DERBY vs millwall;2.5;10/12/2025 16:45;'1-1;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.4091531822073597;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 7 jogos (Odds: 2.5) [BONUS +15%] Previsao: INTERROMPERA STREAK
Liga Pro;LDU Quito have had Over 2.5 Match Goals in their last 9 league matches;LDU QUITO vs independiente del valle;2.0;10/12/2025 19:00;'0-0;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.3805658082013251;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 9 jogos (Odds: 2.0) [BONUS +15%] Previsao: INTERROMPERA STREAK
Bolivia Primera Division;ABB have Lost their last 6 league matches;ABB vs oriente petrolero;3.4;11/12/2025 16:00;'5-1;FALSO;DERROTA;MEDIA_CONFIABILIDADE;0.3357023038209406;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 6 jogos (Odds: 3.4) [BONUS +15%] Previsao: INTERROMPERA STREAK
Bolivia Primera Division;Real Oruro have had BTTS in their last 7 home league matches;REAL ORURO vs nacional potosi;1.33;11/12/2025 18:30;'1-2;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.7656316843242142;VERDADEIRO;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PADRAO_FORTE: BTTS em 7 jogos (Odds: 1.33) [BONUS +15%] Previsao: MANTERA STREAK
Bolivia Primera Division;Club Bolivar have Won their last 8 home league matches;CLUB BOLIVAR vs san antonio bulo bulo;1.17;11/12/2025 21:15;'5-0;VERDADEIRO;VITORIA;MEDIA_CONFIABILIDADE;0.8089684241301973;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 8 jogos (Odds: 1.17) [BONUS +15%] Previsao: MANTERA STREAK
Bolivia Primera Division;Club Bolivar have had Over 2.5 Match Goals in their last 6 home league matches;CLUB BOLIVAR vs san antonio bulo bulo;1.17;11/12/2025 21:15;'5-0;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.7267920534197384;VERDADEIRO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: OVER_2.5 em 6 jogos (Odds: 1.17) [BONUS +15%] Previsao: MANTERA STREAK
Bolivia Primera Division;Guabira have had Over 2.5 Match Goals in their last 10 league matches;GUABIRA vs always ready;1.25;11/12/2025 21:15;'6-0;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.7977807266903877;VERDADEIRO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 10 jogos (Odds: 1.25) [BONUS +15%] Previsao: MANTERA STREAK
Bolivia Primera Division;San Antonio Bulo Bulo have had Over 2.5 Match Goals in their last 6 away league matches;SAN ANTONIO BULO BULO vs club bolivar;1.17;11/12/2025 21:15;'5-0;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.7267920534197383;VERDADEIRO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: OVER_2.5 em 6 jogos (Odds: 1.17) [BONUS +15%] Previsao: MANTERA STREAK
1. Lig;Adana Demirspor have had Over 2.5 Match Goals in their last 16 league matches;ADANA DEMIRSPOR vs boluspor;;12/12/2025 08:30;'1-6;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.5168723344629174;FALSO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 16 jogos (Odds: 2.0) [BONUS +15%] Previsao: INTERROMPERA STREAK
1. Lig;Adana Demirspor have had Over 2.5 Match Goals in their last 8 home league matches;ADANA DEMIRSPOR vs boluspor;;12/12/2025 08:30;'1-6;VERDADEIRO;OVER_2.5;MEDIA_CONFIABILIDADE;0.4482529416543115;FALSO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 8 jogos (Odds: 2.0) [BONUS +15%] Previsao: INTERROMPERA STREAK
Premier League;Kudrivka have Lost their last 7 away league matches;KUDRIVKA vs oleksandria;;12/12/2025 10:30;1-1;FALSO;DERROTA;MEDIA_CONFIABILIDADE;0.4436578082502681;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 7 jogos (Odds: 2.0) [BONUS +15%] Previsao: INTERROMPERA STREAK
Eerste Divisie;FC Den Bosch have had BTTS in their last 7 league matches;FC DEN BOSCH vs vvv-venlo;1.5;12/12/2025 16:00;'0-1;FALSO;BTTS;MEDIA_CONFIABILIDADE;0.6348839288460386;VERDADEIRO;FALSO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: BTTS em 7 jogos (Odds: 1.5) [BONUS +15%] Previsao: INTERROMPERA STREAK
Eerste Divisie;FC Den Bosch have had Over 2.5 Match Goals in their last 7 league matches;FC DEN BOSCH vs vvv-venlo;1.53;12/12/2025 16:00;'0-1;FALSO;OVER_2.5;MEDIA_CONFIABILIDADE;0.526994605647326;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 7 jogos (Odds: 1.53) [BONUS +15%] Previsao: INTERROMPERA STREAK
Eerste Divisie;FC Emmen have had BTTS in their last 6 league matches;FC EMMEN vs helmond sport;1.53;12/12/2025 16:00;'4-1;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.552978352607667;FALSO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 1.53) [BONUS +15%] Previsao: INTERROMPERA STREAK
Eerste Divisie;Jong FC Utrecht have had BTTS in their last 6 league matches;JONG FC UTRECHT vs jong az;1.44;12/12/2025 16:00;'1-4;VERDADEIRO;BTTS;MEDIA_CONFIABILIDADE;0.7342234936015783;VERDADEIRO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: BTTS em 6 jogos (Odds: 1.44) [BONUS +15%] Previsao: MANTERA STREAK
