League;Stat;Next Match;Odds;Date;Situação;Tipo_Estatistica;Liga_Categoria;Probabilidade_Sucesso;Previsao;Padrao;Recomendacao;Analise_Detalhada
Swiss Super League;Zürich have had Over 2.5 Match Goalsin their last 6 league matches;ZÜRICH vs fc lugano;1.62;18/10/2025 15:30;FALSO;OVER_2.5;BAIXA_CONFIABILIDADE;0.656658630909644;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: OVER_2.5 em 6 jogos (Odds: 1.62) [BONUS +10%] Previsao: MANTERA STREAK
Fortuna Liga;Žilina have had Over 2.5 Match Goalsin their last 8 league matches;ŽILINA vs dunajská streda;1.5;19/10/2025 13:00;VERDADEIRO;OVER_2.5;BAIXA_CONFIABILIDADE;0.9051241165404819;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 8 jogos (Odds: 1.5) [BONUS +10%] Previsao: MANTERA STREAK
Ekstraklasa;Zaglebie Lubin have had Over 2.5 Match Goalsin their last 7 league matches;ZAGLEBIE LUBIN vs legia warsaw;1.8;19/10/2025 12:30;VERDADEIRO;OVER_2.5;BAIXA_CONFIABILIDADE;0.6818713706816297;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: OVER_2.5 em 7 jogos (Odds: 1.8) [BONUS +10%] Previsao: MANTERA STREAK
Super League;Yunnan Yukun have had BTTS in their last 7 home league matches;YUNNAN YUKUN vs tianjin jinmen tiger;1.53;18/10/2025 09:00;FALSO;BTTS;BAIXA_CONFIABILIDADE;0.44891839963833635;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 7 jogos (Odds: 1.53) [BONUS +10%] Previsao: INTERROMPERA STREAK
Super League;Yunnan Yukun have had BTTS in their last 12 league matches;YUNNAN YUKUN vs tianjin jinmen tiger;1.53;18/10/2025 09:00;FALSO;BTTS;BAIXA_CONFIABILIDADE;0.5423075396825398;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 12 jogos (Odds: 1.53) [BONUS +10%] Previsao: INTERROMPERA STREAK
Super League;Wuhan Three Towns have Lost their last 6 away league matches;WUHAN THREE TOWNS vs dalian yingbo;1.76;19/10/2025 04:30;FALSO;DERROTA;BAIXA_CONFIABILIDADE;0.5694497710447078;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 6 jogos (Odds: 1.76) [BONUS +10%] Previsao: INTERROMPERA STREAK
Super League;Wuhan Three Towns have had Over 2.5 Match Goalsin their last 8 away league matches;WUHAN THREE TOWNS vs dalian yingbo;1.44;19/10/2025 04:30;FALSO;OVER_2.5;BAIXA_CONFIABILIDADE;0.5327975088820953;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 8 jogos (Odds: 1.44) [BONUS +10%] Previsao: INTERROMPERA STREAK
Swiss Super League;Winterthur have had Over 2.5 Match Goalsin their last 6 league matches;WINTERTHUR vs basel;1.3;18/10/2025 13:00;VERDADEIRO;OVER_2.5;BAIXA_CONFIABILIDADE;0.7202740929705214;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: OVER_2.5 em 6 jogos (Odds: 1.3) [BONUS +10%] Previsao: MANTERA STREAK
Norwegian Eliteserien;Viking FK have had BTTS in their last 6 away league matches;VIKING FK vs tromsø;1.53;19/10/2025 09:30;VERDADEIRO;BTTS;BAIXA_CONFIABILIDADE;0.6798826853526221;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: BTTS em 6 jogos (Odds: 1.53) [BONUS +10%] Previsao: MANTERA STREAK
Bundesliga 2;VfL Bochum 1848 have Lost their last 6 league matches;VFL BOCHUM 1848 vs hertha;2.9;18/10/2025 15:30;FALSO;DERROTA;BAIXA_CONFIABILIDADE;0.38066341991342;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 6 jogos (Odds: 2.9) [BONUS +10%] Previsao: INTERROMPERA STREAK
