League;Stat;Next Match;Odds;Date;Resultado;Situação;Liga_Categoria;Tipo_Estatistica;Probabilidade_Sucesso;Efetividade;Previsao;Padrao;Recomendacao;Analise_Detalhada
Saudi Pro League;Al Fateh have had BTTS in their last 6 league matches;AL FATEH vs al khaleej;1.44;29/12/2025 11:35;'0-1;FALSO;MEDIA_CONFIABILIDADE;BTTS;0.5952243037679803;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 1.44) Streak bonus: +9% Tipo bonus: +5% Previsão: INTERROMPERÁ STREAK
Saudi Pro League;Al Khaleej have had BTTS in their last 6 league matches;AL KHALEEJ vs al fateh;1.44;29/12/2025 11:35;'0-1;FALSO;MEDIA_CONFIABILIDADE;BTTS;0.5952243037679803;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 1.44) Streak bonus: +9% Tipo bonus: +5% Previsão: INTERROMPERÁ STREAK
Nigerian Premier Football League;Bayelsa United have had BTTS in their last 7 home league matches;BAYELSA UNITED vs el kanemi warriors;;29/12/2025 12:00;'0-1;FALSO;MEDIA_CONFIABILIDADE;BTTS;0.6328906435371807;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: BTTS em 7 jogos (Odds: 2.00) Streak bonus: +10% Tipo bonus: +5% Previsão: MANTERÁ STREAK
Nigerian Premier Football League;El Kanemi Warriors have Lost their last 8 away league matches;EL KANEMI WARRIORS vs bayelsa united;;29/12/2025 12:00;'0-1;FALSO;MEDIA_CONFIABILIDADE;DERROTA;0.5632247492319915;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 8 jogos (Odds: 2.00) Streak bonus: +12% Previsão: INTERROMPERÁ STREAK
Nigerian Premier Football League;Remo Stars have Lost their last 6 away league matches;REMO STARS vs ikorodu city;;29/12/2025 12:00;'1-0;VERDADEIRO;MEDIA_CONFIABILIDADE;DERROTA;0.5579162484128126;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 6 jogos (Odds: 2.00) Streak bonus: +9% Previsão: INTERROMPERÁ STREAK
Championship;Coventry have Won their last 8 home league matches;COVENTRY vs ipswich;2.2;29/12/2025 15:00;'0-2;FALSO;MEDIA_CONFIABILIDADE;VITORIA;0.5101009183615548;JOGO_FUTURO;FALSO;PADRAO_FRACO;ARISCADO;PADRAO_FRACO: VITORIA em 8 jogos (Odds: 2.20) Streak bonus: +12% Tipo bonus: +8% Previsão: INTERROMPERÁ STREAK
League Two;Bristol Rvs have Lost their last 6 home league matches;BRISTOL RVS vs barnet;2.1;29/12/2025 16:45;'0-2;VERDADEIRO;MEDIA_CONFIABILIDADE;DERROTA;0.5456692316375572;JOGO_FUTURO;FALSO;PADRAO_FRACO;ARISCADO;PADRAO_FRACO: DERROTA em 6 jogos (Odds: 2.10) Streak bonus: +9% Previsão: INTERROMPERÁ STREAK
League One;Cardiff have Won their last 6 home league matches;CARDIFF vs stevenage;1.66;29/12/2025 16:45;'2-1;VERDADEIRO;MEDIA_CONFIABILIDADE;VITORIA;0.6003957870580583;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: VITORIA em 6 jogos (Odds: 1.66) Streak bonus: +9% Tipo bonus: +8% Previsão: MANTERÁ STREAK
Serie A;Genoa have had BTTS in their last 7 away league matches;GENOA vs roma;2.25;29/12/2025 16:45;'3-1;VERDADEIRO;MEDIA_CONFIABILIDADE;BTTS;0.6512178023270737;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: BTTS em 7 jogos (Odds: 2.25) Streak bonus: +10% Tipo bonus: +5% Previsão: MANTERÁ STREAK
Serie A;Genoa have had Over 2.5 Match Goals in their last 6 away league matches;GENOA vs roma;2.3;29/12/2025 16:45;'3-1;VERDADEIRO;MEDIA_CONFIABILIDADE;OVER_2.5;0.5879574511938944;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 6 jogos (Odds: 2.30) Streak bonus: +9% Tipo bonus: +4% Previsão: INTERROMPERÁ STREAK
