League,Stat,Next Match,Odds,Date,Result,Situacao
Primera Division,Cusco FC have Won their last 6 home league matches,Home vs ADT,1.5,2025-09-22 21:15:00,0-2,FALSO
J League,Shonan Bellmare have had BTTS in their last 6 home league matches,Home vs Kawasaki Frontale,1.67,2025-09-23 07:00:00,0-0,FALSO
1. Lig,Hatayspor have had BTTS in their last 6 league matches,Away vs Iğdır FK,1.83,2025-09-23 14:00:00,0-0,FALSO
Bolivia Primera Division,Independiente Petrolero have had Over 2.5 Match Goals in their last 6 league matches,Away vs Oriente Petrolero,1.57,2025-09-23 16:00:00,0-0,FALSO
Meistriliiga,Flora have Won their last 6 league matches,Home vs Levadia,3.0,2025-09-24 13:00:00,2-3,FALSO
Meistriliiga,Flora have Won their last 7 home league matches,Home vs Levadia,3.0,2025-09-24 13:00:00,2-3,FALSO
Meistriliiga,Flora have had Over 2.5 Match Goals in their last 6 league matches,Home vs Levadia,1.65,2025-09-24 13:00:00,2-3,VERDADEIRO
Meistriliiga,Levadia have had BTTS in their last 6 league matches,Away vs Flora,1.61,2025-09-24 13:00:00,1-2,VERDADEIRO
Meistriliiga,Levadia have had Over 2.5 Match Goals in their last 6 league matches,Away vs Flora,1.65,2025-09-24 13:00:00,1-2,VERDADEIRO
Toppserien,Vålerenga W have Won their last 7 home league matches,Home vs Lyn W,,2025-09-24 13:00:00,,VERDADEIRO
Finnish Ykkosliiga,SJK Akatemia have had BTTS in their last 6 league matches,Away vs Klubi-04,1.28,2025-09-24 14:00:00,1-4,VERDADEIRO
Finnish Ykkosliiga,SJK Akatemia have had BTTS in their last 8 away league matches,Away vs Klubi-04,1.28,2025-09-24 14:00:00,1-4,VERDADEIRO
Finnish Ykkosliiga,SJK Akatemia have had Over 2.5 Match Goals in their last 8 away league matches,Away vs Klubi-04,1.25,2025-09-24 14:00:00,1-4,VERDADEIRO
First Division B,SK Beveren have Won their last 6 league matches,Away vs RFC Liège,1.95,2025-09-24 15:00:00,1-2,FALSO
National League,Wealdstone have had BTTS in their last 6 league matches,Away vs Tamworth,1.7,2025-09-24 15:45:00,1-1,VERDADEIRO
National League,Wealdstone have had Over 2.5 Match Goals in their last 6 league matches,Away vs Tamworth,1.8,2025-09-24 15:45:00,1-1,FALSO
Liga MX,Cruz Azul have Won their last 7 league matches,Home vs Querétaro,1.19,2025-09-24 21:00:00,2-2,FALSO
1. Lig,Adana Demirspor have had Over 2.5 Match Goals in their last 6 league matches,Away vs Sivasspor,1.36,2025-09-25 11:00:00,5-0,VERDADEIRO
Toppserien,Kolbotn W have Lost their last 7 league matches,Home vs Stabæk W,,2025-09-25 13:00:00,,FALSO
Swedish Superettan,Örgryte have Won their last 6 away league matches,Away vs Trelleborg,2.0,2025-09-25 14:00:00,,VERDADEIRO
Liga Pro Serie B,Chacaritas have had BTTS in their last 7 league matches,Away vs Vargas Torres,,2025-09-25 17:30:00,0-0,FALSO
Bolivia Primera Division,Real Oruro have had Over 2.5 Match Goals in their last 6 league matches,Home vs Guabirá,1.57,2025-09-25 21:00:00,,VERDADEIRO
Super League,Shanghai Port have had BTTS in their last 10 league matches,Home vs Wuhan Three Towns,1.67,2025-09-26 09:00:00,,VERDADEIRO
